gene_symbol	geneID	KO12_vs_WT6_dtu_log2fold	KO12_vs_WT6_dtu_gene_padj	dtu_KO12_mean	dtu_WT6_mean	transcript_id	KO12_vs_WT6_exon_gene_padj	KO12_vs_WT6_deg_log2fold	KO12_vs_WT6_deg_pval
Il1rl1	ENSMUSG00000026069	1.1277060994782262	0	18.139125711414053	8.301240350420304	ENSMUST00000053043.7	0.0102290157893659	1.1064674140761275	1.9197152801885287e-6
Hspd1	ENSMUSG00000025980	1.0057030343124562	0	660.7323780354784	329.0628153889084	ENSMUST00000027123.14	5.6678824691585e-5	1.0495974183065364	1.1789600464280538e-8
Scly	ENSMUSG00000026307	1.1270066773683087	0	49.37379131013544	22.606517332210053	ENSMUST00000027532.12	0.0099949181665876	1.1129305320097131	7.744188776271591e-7
Scly	ENSMUSG00000026307	1.8478937851497388	0	5.310547684614041	1.4752575797669467	ENSMUST00000142802.1	0.0099949181665876	1.1129305320097131	7.744188776271591e-7
St8sia4	ENSMUSG00000040710	-1.4021810770281882	0.009387897281601656	5.070210988320714	13.400610853061256	ENSMUST00000043336.10	0.00182284625582328	-1.2910955452088206	4.525124203555434e-6
Steap3	ENSMUSG00000026389	1.4760517269327535	2.7995998912515646e-14	112.37859363925776	40.39687289526219	ENSMUST00000112640.7	3.5285865415318e-4	1.5568878429789024	3.359527971311901e-8
Ctse	ENSMUSG00000004552	1.1879878311954737	9.393571034619405e-14	183.77465388462224	80.66137887154804	ENSMUST00000073350.12	0	1.287881659154806	5.257495661861353e-8
Ctse	ENSMUSG00000004552	1.899382742007	9.393571034619405e-14	1.0312549957455057	0.2764361824858485	ENSMUST00000141061.1	0	1.287881659154806	5.257495661861353e-8
Timm17a	ENSMUSG00000062580	1.0379240443118347	0	8.622662491786631	4.1994761267813505	ENSMUST00000134088.2	5.73510359551353e-5	1.016763146873183	1.0239620752433002e-4
Nav1	ENSMUSG00000009418	-2.2064425100183023	0.016075445575830103	0.4215552327760218	1.9456282514583476	ENSMUST00000040599.14	2.002010002097e-4	-1.3944179890137303	1.6505195991711032e-5
Nav1	ENSMUSG00000009418	-1.226249929919686	0.016075445575830103	0.7387504720527185	1.7283662710117673	ENSMUST00000190298.7	2.002010002097e-4	-1.3944179890137303	1.6505195991711032e-5
Nav1	ENSMUSG00000009418	-1.480617172879149	0.016075445575830103	0.8698539560843197	2.4274848274248724	ENSMUST00000189252.1	2.002010002097e-4	-1.3944179890137303	1.6505195991711032e-5
Phlda3	ENSMUSG00000041801	3.725886768181627	2.6503674876667263e-15	77.06543276807477	5.8244637128878125	ENSMUST00000038945.5	0.020703054852521	3.857597755489501	3.9941338008065096e-7
Soat1	ENSMUSG00000026600	-1.7625200148123297	1.3113202831286449e-14	0.8513496024126544	2.8885462787183176	ENSMUST00000189661.6	0.0142210103128066	-1.3627990673826145	2.0575712154549482e-4
Soat1	ENSMUSG00000026600	-5.4876857460989195	1.3113202831286449e-14	0.0813602570245155	3.6506510974984647	ENSMUST00000187987.1	0.0142210103128066	-1.3627990673826145	2.0575712154549482e-4
Sell	ENSMUSG00000026581	-1.9069844672800145	0	4.914426774200088	18.430299566408934	ENSMUST00000192047.5	0	-1.42574629213009	9.618844132199143e-8
Sell	ENSMUSG00000026581	-1.4413851790960261	0	38.90795515073885	105.6668061561013	ENSMUST00000027871.12	0	-1.42574629213009	9.618844132199143e-8
Sell	ENSMUSG00000026581	-2.0238385380998496	0	1.554249086529516	6.320577009958417	ENSMUST00000097491.9	0	-1.42574629213009	9.618844132199143e-8
Sell	ENSMUSG00000026581	-1.5695980588311973	0	0.7355830130255969	2.183372260144568	ENSMUST00000195358.1	0	-1.42574629213009	9.618844132199143e-8
Rcsd1	ENSMUSG00000040723	-2.02237114926593	1.1133205120606312e-14	0.35839951010934157	1.4560013768237323	ENSMUST00000097474.8	0.00653853064618983	-1.4394381145008666	3.1585338333504886e-7
Rcsd1	ENSMUSG00000040723	-1.5117441728759131	1.1133205120606312e-14	18.462498057489345	52.64665763245658	ENSMUST00000040357.10	0.00653853064618983	-1.4394381145008666	3.1585338333504886e-7
Rcsd1	ENSMUSG00000040723	-1.7531343411204376	1.1133205120606312e-14	0.4117301713555323	1.3879017268644278	ENSMUST00000195045.1	0.00653853064618983	-1.4394381145008666	3.1585338333504886e-7
Arhgap30	ENSMUSG00000048865	-1.2058234371774295	4.429735681664236e-14	18.04869183048828	41.63271694209483	ENSMUST00000056449.8	3.9339453625863e-4	-1.0396421061291088	3.0669323198579666e-7
Spta1	ENSMUSG00000026532	1.431066642364549	0	18.31217998081602	6.791192844688645	ENSMUST00000027817.7	1.35382576833471e-5	1.5926083126969832	1.6412018602708904e-7
Exo1	ENSMUSG00000039748	-2.392929154495633	1.166751634758512e-8	0.20935199420503592	1.099564108042744	ENSMUST00000195196.5	0.0286541611855373	1.0311712756667513	1.8185591264165365e-6
Exo1	ENSMUSG00000039748	1.0354186313553884	1.166751634758512e-8	11.077599942185094	5.404476226964348	ENSMUST00000194306.5	0.0286541611855373	1.0311712756667513	1.8185591264165365e-6
Exo1	ENSMUSG00000039748	1.2202739608505975	1.166751634758512e-8	6.721185771225394	2.8847410470576147	ENSMUST00000191680.1	0.0286541611855373	1.0311712756667513	1.8185591264165365e-6
Exo1	ENSMUSG00000039748	1.612983828863945	1.166751634758512e-8	1.813998182575022	0.5930350096915216	ENSMUST00000194636.1	0.0286541611855373	1.0311712756667513	1.8185591264165365e-6
Exo1	ENSMUSG00000039748	1.8582038582173475	1.166751634758512e-8	6.130671061855036	1.6909583690489085	ENSMUST00000193610.1	0.0286541611855373	1.0311712756667513	1.8185591264165365e-6
Coq8a	ENSMUSG00000026489	-2.013710651983216	0	2.4325153739801024	9.822971920891423	ENSMUST00000027766.12	0.0369222921428196	-1.5277175659911415	1.5740380560617454e-4
Coq8a	ENSMUSG00000026489	-1.3155935868254016	0	0.4060623908136285	1.0107084556933852	ENSMUST00000161632.2	0.0369222921428196	-1.5277175659911415	1.5740380560617454e-4
Capn2	ENSMUSG00000026509	-1.32807171295076	0.00830549595444788	5.049882296293904	12.678581818209704	ENSMUST00000068505.9	0.0243402893219095	-1.2591481797142725	2.2595414044735204e-5
Cd34	ENSMUSG00000016494	-1.9441181661510054	8.546858390847435e-14	42.76859266113519	164.57461309666732	ENSMUST00000016638.7	4.7249347466792e-4	-1.6920505376281483	9.317510885118992e-9
Cd34	ENSMUSG00000016494	-1.55870590121273	8.546858390847435e-14	30.122388416969116	88.73738676057297	ENSMUST00000110815.8	4.7249347466792e-4	-1.6920505376281483	9.317510885118992e-9
Cd34	ENSMUSG00000016494	-1.52296059196358	8.546858390847435e-14	2.5374628300413242	7.292165381577554	ENSMUST00000194036.1	4.7249347466792e-4	-1.6920505376281483	9.317510885118992e-9
Itih5	ENSMUSG00000025780	-1.8154277036019868	1.6782007954983643e-14	4.1290328390143145	14.532707435508081	ENSMUST00000026886.7	0.00229117003182684	-1.7145371643341303	7.553545488813059e-7
Ralgds	ENSMUSG00000026821	-3.0902653922088756	4.481841743752862e-6	0.27093128528185717	2.30739387197089	ENSMUST00000135803.7	0.0498095522028857	-1.7042901272466793	3.916746728057944e-5
Ralgds	ENSMUSG00000026821	-1.4897372336907606	4.481841743752862e-6	1.6332486558302797	4.5867799183971485	ENSMUST00000028170.14	0.0498095522028857	-1.7042901272466793	3.916746728057944e-5
Ralgds	ENSMUSG00000026821	-1.2673888047216697	4.481841743752862e-6	1.4989301687105556	3.6083067191989144	ENSMUST00000113893.7	0.0498095522028857	-1.7042901272466793	3.916746728057944e-5
Ralgds	ENSMUSG00000026821	-2.893701209064698	4.481841743752862e-6	0.29470425778590575	2.1901672110000328	ENSMUST00000140704.1	0.0498095522028857	-1.7042901272466793	3.916746728057944e-5
Sptan1	ENSMUSG00000057738	1.3043813136797788	0	1.4724635139579174	0.5961926821225954	ENSMUST00000113717.7	1.98573846269612e-5	-1.2254467442085453	4.4810022676578895e-6
Sptan1	ENSMUSG00000057738	-12.446757339033708	0	0.0016571999384395102	9.25171437099833	ENSMUST00000100225.8	1.98573846269612e-5	-1.2254467442085453	4.4810022676578895e-6
Sptan1	ENSMUSG00000057738	-11.86593372637831	0	0.0016730701567693592	6.244765444863939	ENSMUST00000046257.13	1.98573846269612e-5	-1.2254467442085453	4.4810022676578895e-6
Sptan1	ENSMUSG00000057738	-1.3071867685307494	0	1.0310832323032066	2.5515034011769138	ENSMUST00000124494.4	1.98573846269612e-5	-1.2254467442085453	4.4810022676578895e-6
Crat	ENSMUSG00000026853	1.3016860686010534	0.01133719664891282	4.1229575066322575	1.6724852917766975	ENSMUST00000102854.9	0.0422251083115471	1.0113163870807726	3.173103193193945e-5
Crat	ENSMUSG00000026853	2.373279408273548	0.01133719664891282	2.4290173670907618	0.46881589731565043	ENSMUST00000132981.8	0.0422251083115471	1.0113163870807726	3.173103193193945e-5
Crat	ENSMUSG00000026853	2.4621813871291343	0.01133719664891282	6.3045626183086405	1.1441013822576966	ENSMUST00000134120.1	0.0422251083115471	1.0113163870807726	3.173103193193945e-5
Hmcn2	ENSMUSG00000055632	4.987658935721044	0	3.162931863019199	0.0996907557791535	ENSMUST00000142448.7	5.25306898607073e-6	4.918117531405246	1.352025274411947e-4
Eeig1	ENSMUSG00000039157	-1.319092824039921	0.010605983756419746	3.894641915506729	9.717488619172086	ENSMUST00000048375.5	0.0490027999729884	-1.1130211411857536	4.1406431155244655e-5
Ak1	ENSMUSG00000026817	7.657055036960075	2.436701498094966e-14	10.695630599572588	0.05299112631994735	ENSMUST00000068271.4	5.7456529644363e-4	2.4498042221977165	3.276110276906142e-6
Ak1	ENSMUSG00000026817	5.194631625616237	2.436701498094966e-14	1.0071526074830173	0.027501434379024373	ENSMUST00000135392.1	5.7456529644363e-4	2.4498042221977165	3.276110276906142e-6
Sh2d3c	ENSMUSG00000059013	-1.1863939975096587	2.846863347455131e-4	6.58552681848016	14.98755198955483	ENSMUST00000074248.10	0.00847509623125418	-1.1463360770342446	8.22934945175639e-6
Sh2d3c	ENSMUSG00000059013	-2.303501264740502	2.846863347455131e-4	0.2831282792553885	1.397675090565613	ENSMUST00000113242.4	0.00847509623125418	-1.1463360770342446	8.22934945175639e-6
Ralgps1	ENSMUSG00000038831	-1.33190453020321	0.03271005914727529	0.7450666739643477	1.8755919204937788	ENSMUST00000131298.6	0.012355129972067	-1.7565023489166092	2.072143873920725e-5
Dab2ip	ENSMUSG00000026883	-1.6472755533975958	0.012336629565357317	0.8331018018036509	2.6096209273133852	ENSMUST00000091010.11	4.99697533427178e-5	-1.0439882978093067	1.3099209299316667e-5
Dab2ip	ENSMUSG00000026883	-1.551834530685343	0.012336629565357317	0.40939697836191413	1.2003098636964138	ENSMUST00000156465.7	4.99697533427178e-5	-1.0439882978093067	1.3099209299316667e-5
Dab2ip	ENSMUSG00000026883	-1.6038344011914578	0.012336629565357317	1.2231923042155215	3.717893994143793	ENSMUST00000112983.7	4.99697533427178e-5	-1.0439882978093067	1.3099209299316667e-5
Nek6	ENSMUSG00000026749	-1.1327411255514321	0.013282939468565617	2.1222434420759675	4.653548626476398	ENSMUST00000112902.7	3.961150254266e-4	-1.0134125311593785	3.0095666402469075e-5
Nek6	ENSMUSG00000026749	-1.2400155468824008	0.013282939468565617	1.8813511317897471	4.443771647490963	ENSMUST00000112895.7	3.961150254266e-4	-1.0134125311593785	3.0095666402469075e-5
Dpp4	ENSMUSG00000035000	-1.6583990911940591	0.001798525709144294	2.425879932114053	7.657679277616046	ENSMUST00000047812.7	0.0256540388188123	-1.560434345279612	4.0839430775987315e-6
Scrn3	ENSMUSG00000008226	1.1266532095736346	4.1208063126201064e-9	13.50184301143064	6.183532436295607	ENSMUST00000090811.10	0.00124584411966188	1.1180180669378643	5.159300310004544e-5
Gpr155	ENSMUSG00000041762	1.3797696014952505	0.01282148399243081	3.8054217216959447	1.4623480680498866	ENSMUST00000076463.11	0.0406026113419187	1.2906455867485427	3.3573607520409897e-4
Spi1	ENSMUSG00000002111	-5.198690386626499	7.21848055584027e-15	0.051735375107582325	1.8999813886936967	ENSMUST00000169852.1	5.6676393985795e-4	-1.3404644176291605	2.4565684033409165e-6
Spi1	ENSMUSG00000002111	-2.3065719934323106	7.21848055584027e-15	1.697393255051535	8.39710974661943	ENSMUST00000131400.1	5.6676393985795e-4	-1.3404644176291605	2.4565684033409165e-6
Spi1	ENSMUSG00000002111	-1.280992057637881	7.21848055584027e-15	20.743767909377382	50.4086049137425	ENSMUST00000002180.7	5.6676393985795e-4	-1.3404644176291605	2.4565684033409165e-6
Spi1	ENSMUSG00000002111	-1.3384690594927235	7.21848055584027e-15	0.8113177974067308	2.051683369278662	ENSMUST00000132741.2	5.6676393985795e-4	-1.3404644176291605	2.4565684033409165e-6
Phf21a	ENSMUSG00000058318	-1.0224364357723674	0.013240845717161883	0.7798580320015567	1.5841619774234381	ENSMUST00000111297.9	9.53297283561103e-5	-1.028463671311889	5.622698083585094e-4
Phf21a	ENSMUSG00000058318	-1.02235312391831	0.013240845717161883	3.6510286403887244	7.416076417026607	ENSMUST00000111293.8	9.53297283561103e-5	-1.028463671311889	5.622698083585094e-4
Phf21a	ENSMUSG00000058318	-3.1270002653597566	0.013240845717161883	0.20244353341474902	1.7685803080389202	ENSMUST00000090586.11	9.53297283561103e-5	-1.028463671311889	5.622698083585094e-4
Phf21a	ENSMUSG00000058318	-2.8752179098018664	0.013240845717161883	0.3376015721308346	2.477030164301657	ENSMUST00000159366.7	9.53297283561103e-5	-1.028463671311889	5.622698083585094e-4
Large2	ENSMUSG00000040434	-1.600815915555013	0.01799960321422606	0.6572323966112883	1.993483157973979	ENSMUST00000068586.12	0.0166221802178564	-1.264705389449256	0.008682227331251503
Accs	ENSMUSG00000040272	-1.7954225721558499	0	1.0017285022440818	3.477171249530521	ENSMUST00000111246.7	0.00438778152689882	-1.6799422186732706	2.1320235761073823e-5
Accs	ENSMUSG00000040272	-7.972343521724346	0	0.008010005130931188	2.011626416276371	ENSMUST00000068513.10	0.00438778152689882	-1.6799422186732706	2.1320235761073823e-5
Accs	ENSMUSG00000040272	-1.5919876008395535	0	0.6634287737819455	2.0000015124809996	ENSMUST00000150666.7	0.00438778152689882	-1.6799422186732706	2.1320235761073823e-5
Plcb2	ENSMUSG00000040061	-1.6614889957742314	2.2490740799198356e-14	8.106516464858826	25.644385352768857	ENSMUST00000102524.7	0.00368507166119817	-1.4025618088817193	4.4518834415460284e-7
Plcb2	ENSMUSG00000040061	-1.7726962473072827	2.2490740799198356e-14	0.7234628779072158	2.472014394360964	ENSMUST00000129153.1	0.00368507166119817	-1.4025618088817193	4.4518834415460284e-7
Plcb2	ENSMUSG00000040061	-1.3961979172920802	2.2490740799198356e-14	3.734108692328342	9.82843586898481	ENSMUST00000127248.1	0.00368507166119817	-1.4025618088817193	4.4518834415460284e-7
Plcb2	ENSMUSG00000040061	-1.9848540300772035	2.2490740799198356e-14	0.9745780291892078	3.85760020864199	ENSMUST00000006415.5	0.00368507166119817	-1.4025618088817193	4.4518834415460284e-7
Spo11	ENSMUSG00000005883	-2.6209590479082587	0.004050294787942514	0.35336399053945516	2.1737499328397734	ENSMUST00000144044.7	0.0230664515228595	-2.4498121866969225	1.456256272546905e-4
Car2	ENSMUSG00000027562	1.1995109456292918	0	83.14812012916718	36.20459220151672	ENSMUST00000192609.5	0	1.220723412007171	1.1789600464280538e-8
Car2	ENSMUSG00000027562	1.110753530294437	0	1383.9668158023296	640.8487573112155	ENSMUST00000029078.8	0	1.220723412007171	1.1789600464280538e-8
Car2	ENSMUSG00000027562	2.856414319161259	0	13.61988974607635	1.8806466375557578	ENSMUST00000195520.1	0	1.220723412007171	1.1789600464280538e-8
Larp1b	ENSMUSG00000025762	1.4774688779697722	0.01245024143366489	2.397709678246245	0.8610614503963074	ENSMUST00000191872.5	5.450942623416e-4	1.1347366327747608	4.338759697527451e-6
Cd1d1	ENSMUSG00000028076	-2.7719960317859047	6.92515375809693e-13	0.883198520442247	6.032707743296044	ENSMUST00000107620.2	5.588050232998e-7	-1.5293753580809986	4.143314063364243e-6
Cd1d1	ENSMUSG00000028076	-1.7489537118637188	6.92515375809693e-13	0.36590650813255315	1.2298656230160414	ENSMUST00000132131.1	5.588050232998e-7	-1.5293753580809986	4.143314063364243e-6
Cd1d1	ENSMUSG00000028076	-3.105960050797793	6.92515375809693e-13	1.1161968239878275	9.610100359187296	ENSMUST00000142793.1	5.588050232998e-7	-1.5293753580809986	4.143314063364243e-6
Plekho1	ENSMUSG00000015745	-1.5389244557739858	2.441332280740939e-12	5.11324769644343	14.857962353643476	ENSMUST00000015889.9	0.0359237268740451	-1.4963920194225717	5.987038024161579e-6
Plekho1	ENSMUSG00000015745	-1.339843574514939	2.441332280740939e-12	2.158221493086522	5.46297381236777	ENSMUST00000123006.7	0.0359237268740451	-1.4963920194225717	5.987038024161579e-6
Plekho1	ENSMUSG00000015745	-2.392543246421543	2.441332280740939e-12	1.9630742774925407	10.307753293100326	ENSMUST00000130043.7	0.0359237268740451	-1.4963920194225717	5.987038024161579e-6
Plekho1	ENSMUSG00000015745	-2.0796851817774367	2.441332280740939e-12	0.24429491364321976	1.0326711544532448	ENSMUST00000157043.1	0.0359237268740451	-1.4963920194225717	5.987038024161579e-6
Txnip	ENSMUSG00000038393	-1.9028867203099864	0	34.483987527951136	128.95656623046855	ENSMUST00000074519.12	7.4632945317215e-5	-1.8779536156878072	9.115377504998873e-9
Txnip	ENSMUSG00000038393	-1.9165688964737286	0	29.670426963316352	112.01302414507026	ENSMUST00000049093.7	7.4632945317215e-5	-1.8779536156878072	9.115377504998873e-9
Txnip	ENSMUSG00000038393	-1.9156022580410412	0	1.287762628064398	4.8583584819957215	ENSMUST00000151832.1	7.4632945317215e-5	-1.8779536156878072	9.115377504998873e-9
Txnip	ENSMUSG00000038393	-3.3068271163097007	0	1.1898470018107443	11.774575887650926	ENSMUST00000196871.1	7.4632945317215e-5	-1.8779536156878072	9.115377504998873e-9
Txnip	ENSMUSG00000038393	-2.970419104754968	0	0.9812274063136079	7.6905060837191925	ENSMUST00000128221.1	7.4632945317215e-5	-1.8779536156878072	9.115377504998873e-9
Dennd2c	ENSMUSG00000007379	1.3225500290151706	2.7370879897820357e-5	1.4485922918964578	0.579187180038238	ENSMUST00000172288.2	0.00802955653013431	2.1538459785578183	5.828361185566802e-6
Dennd2c	ENSMUSG00000007379	5.676939771882053	2.7370879897820357e-5	1.0139341257385128	0.019818947413425884	ENSMUST00000173037.7	0.00802955653013431	2.1538459785578183	5.828361185566802e-6
Gstm1	ENSMUSG00000058135	-1.6087069124305255	4.7941312546887326e-14	14.455088252993086	44.084892122822524	ENSMUST00000004140.10	0.0180702151477764	-1.4553978976906148	2.158682339988841e-6
Psrc1	ENSMUSG00000068744	2.103881485373372	0	64.19335739350468	14.933398553020826	ENSMUST00000090561.9	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	1.5652447718858857	0	10.110938380416677	3.4166920469363102	ENSMUST00000133405.7	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	2.221115088551143	0	25.437199326203107	5.455656616513119	ENSMUST00000102629.7	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	2.250022344092048	0	20.407795409468452	4.290144055594171	ENSMUST00000126461.7	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	1.8797109386409736	0	3.43907454119086	0.9345277748431615	ENSMUST00000128089.1	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	3.840176341529894	0	4.262302102726231	0.2976020790580295	ENSMUST00000145141.5	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	2.092331503486755	0	4.343620831738874	1.0185852053537139	ENSMUST00000143309.1	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	2.761246462778778	0	10.952566815086257	1.6154662918783098	ENSMUST00000196430.1	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
Psrc1	ENSMUSG00000068744	2.9041145232022414	0	15.144809967242914	2.023197342910161	ENSMUST00000128962.1	1.0959905822400299e-11	2.315657725293133	3.872326845280951e-8
4930555A03Rik	ENSMUSG00000106157	-1.8947927355243024	0.00612932517841861	1.2860864096364608	4.7825508677215876	ENSMUST00000196524.1	0.0242624960748298	-1.7477218164326795	2.886855690943907e-4
4930555A03Rik	ENSMUSG00000106157	-2.5789624035375316	0.00612932517841861	0.4952895904307464	2.959403898691268	ENSMUST00000197810.1	0.0242624960748298	-1.7477218164326795	2.886855690943907e-4
Coro2a	ENSMUSG00000028337	-1.1986676305633823	0	22.46698680371416	51.56793513020439	ENSMUST00000107756.3	1.4299662345235e-4	-1.0126417885929841	2.1749548068608003e-6
Abca1	ENSMUSG00000015243	-1.4730176953630576	0.013294126721328204	0.9002290953648033	2.4990535115550845	ENSMUST00000030010.3	0.0188317626040464	-1.575519617478912	2.7680225241235446e-4
Ugcg	ENSMUSG00000028381	1.9538400652775851	2.615830120971919e-14	1.1789456857013791	0.30431918427120036	ENSMUST00000133996.1	7.89306318008419e-7	1.008771511138204	4.924744764246915e-7
Ugcg	ENSMUSG00000028381	2.441656290914644	2.615830120971919e-14	1.7328798145689408	0.3189750103582435	ENSMUST00000155153.1	7.89306318008419e-7	1.008771511138204	4.924744764246915e-7
Hacd4	ENSMUSG00000028497	-2.3965284311199806	0.011012562520497607	1.3630252001894982	7.17679975032031	ENSMUST00000151280.7	0.0458796430772656	-2.0661820313781423	1.1497436661262748e-5
Nfia	ENSMUSG00000028565	1.1878686895742	0.009646256524583906	5.05570709072798	2.2192069206512364	ENSMUST00000075448.12	7.16683793825181e-5	1.5120168370544	2.7571004877091573e-5
Nfia	ENSMUSG00000028565	1.124892351807717	0.009646256524583906	1.0185548719628406	0.4670443156055454	ENSMUST00000107062.8	7.16683793825181e-5	1.5120168370544	2.7571004877091573e-5
Nfia	ENSMUSG00000028565	1.735737738280328	0.009646256524583906	4.278385913401881	1.2846086198309914	ENSMUST00000148930.2	7.16683793825181e-5	1.5120168370544	2.7571004877091573e-5
Ak4	ENSMUSG00000028527	-9.717074213157236	1.1133205120606312e-14	0.003238295672501031	2.7255070373454577	ENSMUST00000102780.7	0.0112291392496546	-1.4233724404551573	0.008495582331661233
Ak4	ENSMUSG00000028527	-5.797409030551399	1.1133205120606312e-14	0.03865516057082327	2.149817020574366	ENSMUST00000106946.7	0.0112291392496546	-1.4233724404551573	0.008495582331661233
Ak4	ENSMUSG00000028527	1.3508269666996249	1.1133205120606312e-14	1.3216310314137498	0.5181682410947018	ENSMUST00000106945.7	0.0112291392496546	-1.4233724404551573	0.008495582331661233
Slc35d1	ENSMUSG00000028521	1.090711831903545	0.029178729657060774	2.2180839523550437	1.041456180727243	ENSMUST00000150285.7	0.00229583562501397	1.0111624466447715	2.836454457860178e-5
Acot11	ENSMUSG00000034853	-1.2711595688653747	0.01439146003191915	1.3536954019009937	3.267218001428462	ENSMUST00000102762.9	0.0328317947618105	-1.1009976593070423	2.114449914087287e-4
Faah	ENSMUSG00000034171	-1.7782272282896239	2.567621204676198e-7	1.4176718827588695	4.862677424610943	ENSMUST00000049095.5	2.64278327373548e-5	-1.6886762035597647	3.240250857611469e-5
Faah	ENSMUSG00000034171	-1.5140150405052415	2.567621204676198e-7	0.45308622830724987	1.2940313649004032	ENSMUST00000150668.7	2.64278327373548e-5	-1.6886762035597647	3.240250857611469e-5
Mpl	ENSMUSG00000006389	-1.79902375413831	5.041153205781992e-15	6.582362454307697	22.905612307188147	ENSMUST00000102671.9	8.563577118732e-4	-1.3869739573995172	2.875781599675045e-6
Mpl	ENSMUSG00000006389	-1.1613923845918583	5.041153205781992e-15	5.01995756840216	11.228299562122562	ENSMUST00000168404.8	8.563577118732e-4	-1.3869739573995172	2.875781599675045e-6
Fhl3	ENSMUSG00000032643	-1.1384770153528774	0.008307320943130551	5.6860910122934865	12.517844080584814	ENSMUST00000038684.5	3.2678417315394e-4	-1.0806538182094667	1.0755614503780227e-4
Mtf1	ENSMUSG00000028890	1.2080428884006429	0.022991973152097386	7.151674087493768	3.0956408526127603	ENSMUST00000147452.1	0.00325681368534175	1.0995212711222395	1.166094782340744e-4
Ago1	ENSMUSG00000041530	-1.2306959199921972	5.041153205781992e-15	8.935334373754385	20.96945757565964	ENSMUST00000097888.9	0.00442091105293087	-1.0113066399689288	1.0345743557941777e-6
Nhsl3	ENSMUSG00000050390	-2.080737950725441	0.04872408349591085	0.43211282931923317	1.827938991770061	ENSMUST00000052602.5	5.39021825127882e-5	-1.1666289673708747	0.0014246606160616643
Phactr4	ENSMUSG00000066043	1.815753801766269	0	2.321392787805499	0.6594050544371242	ENSMUST00000084249.10	3.81191606581786e-10	1.233836358955796	1.0570502486122985e-6
Phactr4	ENSMUSG00000066043	2.304020526499955	0	11.256004955944828	2.2793183482723647	ENSMUST00000136711.1	3.81191606581786e-10	1.233836358955796	1.0570502486122985e-6
Sesn2	ENSMUSG00000028893	1.5843307171001824	1.4958151043510165e-14	16.405386958053136	5.470857587524646	ENSMUST00000030724.8	0.00351339213359631	1.6802780315940273	7.553545488813059e-7
Ahdc1	ENSMUSG00000037692	-2.075496703547278	0.005619743020114849	0.29709186031786405	1.2522110068798131	ENSMUST00000145682.1	0.00324197603126487	-1.3132650778735528	1.562649325468115e-5
